id,created_at,favorite_count,retweet_count,text,coin
1474198309749157891,2021-12-24 02:00:40+00:00,8358,2426,"#Binance will list @MIM_Spell $SPELL and @terra_money $UST

https://t.co/PEk68xIQrF",SPELL
1474198309749157891,2021-12-24 02:00:40+00:00,8358,2426,"#Binance will list @MIM_Spell $SPELL and @terra_money $UST

https://t.co/PEk68xIQrF",UST
1473836918966079488,2021-12-23 02:04:38+00:00,1668,464,"#Binance will list @convexfinance $CVX @constitutiondao $PEOPLE in the Innovation Zone

https://t.co/z6egpW6bFd",CVX
1473836918966079488,2021-12-23 02:04:38+00:00,1668,464,"#Binance will list @convexfinance $CVX @constitutiondao $PEOPLE in the Innovation Zone

https://t.co/z6egpW6bFd",PEOPLE
1471670975246659589,2021-12-17 02:37:57+00:00,1191,216,"#Binance will list @highstreetworld $HIGH
https://t.co/gPVCpktwzn",HIGH
1469124888375926786,2021-12-10 02:00:43+00:00,2218,547,"#Binance will list @RunOnFlux $FLUX

https://t.co/ba40juTuoV",FLUX
1468762148260220931,2021-12-09 01:59:19+00:00,2518,465,"#Binance will list @biconomy $BICO

https://t.co/1XMRyTYXyC",BICO
1466951176415420421,2021-12-04 02:03:09+00:00,1378,225,"#Binance will list @AnyswapNetwork $ANY

https://t.co/L5haTe6PRG",ANY
1466256809400758274,2021-12-02 04:03:59+00:00,2195,397,"#Binance will list @MeritCircle_IO $MC

https://t.co/c557IbhlQ2",MC
1465500846913822723,2021-11-30 02:00:04+00:00,1577,247,"#Binance will list @alchemixfi $ALCX

https://t.co/ohVQELLZag",ALCX
1464473748795539458,2021-11-27 05:58:44+00:00,2897,553,"#Binance will list @rendertoken $RNDR

https://t.co/FhEgtaOrkH",RNDR
1464078145951125508,2021-11-26 03:46:45+00:00,2667,533,"#Binance will list @VulcanForged $PYR

https://t.co/iWoomhkOFE",PYR
1462964341452382211,2021-11-23 02:00:54+00:00,2646,656,"#Binance Will List @amptoken $AMP and @playdapp_io $PLA

https://t.co/9SxMwMi9Y4",AMP
1462964341452382211,2021-11-23 02:00:54+00:00,2646,656,"#Binance Will List @amptoken $AMP and @playdapp_io $PLA

https://t.co/9SxMwMi9Y4",PLA
